cluster_id,name,st_mean,st_median,st_rank,fa_mean,fa_median,fr_mean,fr_median,fo_mean,fo_median,count,clusterid,male,mostly_male,female,mostly_female,male_ratio_strict,male_ratio_loose,ideo_shift,negs_shift,0.8,0.85,0.9,0.95
37,,988.6745363,22,17,578.6492411,5,330.2816189,125,208.1500843,23,593,37,83,3,76,17,0.522012579,0.480446927,0.106213762,0.145937904,0.127819549,0.090225564,0.060150376,0.022556391
38,,5373.723833,917,87,7347.985639,985,852.9707263,330,991.6647335,98,3621,38,1061,93,423,107,0.714959569,0.685273159,0.042268378,0.080444703,0.090225564,0.037593985,0.030075188,0.007518797
39,Trump,141.2365591,9,7,128.0107527,3,195.6209677,100,64.50268817,13,372,39,37,6,33,17,0.528571429,0.462365591,0.160157641,0.156941608,0.112781955,0.090225564,0.060150376,0.045112782
40,,1955.608833,17,15,2224.113565,11,221.6056782,103,287.3564669,11,317,40,67,3,21,5,0.761363636,0.729166667,0.114432081,0.15239191,0.082706767,0.052631579,0.037593985,0.007518797
41,,3237.299652,508.5,59,2588.189895,108.5,699.7735192,329.5,716.0522648,130,574,41,66,6,136,37,0.326732673,0.293877551,0.058885241,0.101125706,0.090225564,0.060150376,0.060150376,0.007518797
42,,189.1412639,4,1,434.204461,3,133.2546468,87,25.05762082,5,538,42,109,18,28,5,0.795620438,0.79375,0.121452258,0.150013996,0.097744361,0.082706767,0.067669173,0.015037594
43,,1872.253298,491,54,1463.807388,159,667.3139842,437,1383.163588,268,379,43,112,14,63,13,0.64,0.623762376,0.067586794,0.108909853,0.067669173,0.052631579,0.052631579,0.037593985
44,,201.347548,12,11,414.4520256,3,177.6375267,95,66.12579957,9,469,44,46,2,58,12,0.442307692,0.406779661,0.091633692,0.14027155,0.135338346,0.090225564,0.045112782,0.007518797
45,,122.0997151,5,2,219.6381766,3,125.8490028,92,27.53846154,5,351,45,46,5,43,9,0.516853933,0.495145631,0.068516489,0.13426462,0.097744361,0.045112782,0.022556391,0
46,,2974.698039,118,23,2781.4,63,503.772549,181,1351.505882,52,255,46,45,6,47,11,0.489130435,0.467889908,0.11504586,0.147751888,0.142857143,0.067669173,0.045112782,0.030075188
